id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8196,HABITACION DE LUJO MUY AMPLIA EN CENTRO DE MADRID,9123198,Miguel Angel,Centro,Palacio,40.41156,-3.70828,Private room,55,3,28,5/27/2019,1.19,1,88
8197,Las Casas de Espaa.,901218,Myrko,Centro,Cortes,40.41654,-3.69742,Private room,38,1,17,8/16/2019,0.69,25,351
8198,habitacion (lovelyroom)LAVAPIES,70147780,Dennis,Centro,Embajadores,40.40737,-3.70264,Private room,30,1,70,9/14/2019,2.86,1,59
8199,Wonderfull holidays in Madrid,134680965,Antonio,Centro,Sol,40.41701,-3.70748,Entire home/apt,160,2,12,7/27/2018,0.51,1,16
8200,Modern & Bright 3BD-Barrio de las Letras,150584965,Jose Luis,Centro,Cortes,40.41316,-3.69531,Entire home/apt,139,2,49,8/18/2019,2.04,1,123
8201,REFURBISHED & COZY - 2BD 2BTH - CHAMBER - MADRID,124381557,Marta,Chamber,Rios Rosas,40.44366,-3.70291,Entire home/apt,150,2,3,8/11/2019,0.15,5,254
8202,"Habitacin grande, luminosa y con encanto.",75156803,Noe,Arganzuela,Palos de Moguer,40.40393,-3.70145,Private room,47,6,25,3/3/2019,1.03,3,166
8203,"LUXURY APARTMENT FUENCARRAL, CHUECA",54317950,Natalia,Centro,Justicia,40.42477,-3.70023,Entire home/apt,105,2,17,7/31/2019,0.72,5,110
8204,Habitacin luminosa y con encanto.,75156803,Noe,Centro,Embajadores,40.40654,-3.70265,Private room,29,60,34,1/31/2019,1.4,3,197
8205,"Enchanting New Delicias-Atocha, Reina Sofia...",5838882,Stacy,Arganzuela,Palos de Moguer,40.40482,-3.69448,Entire home/apt,148,2,91,9/14/2019,3.87,1,88
8206,Private room,59800159,Jose,Hortaleza,Apostol Santiago,40.47935,-3.65562,Private room,28,2,63,9/14/2019,2.59,1,136
8207,Apartamento en la plaza Mayor de Madrid,2711109,Yolanda ... /Alrezkate S.L,Centro,Sol,40.41697,-3.70737,Entire home/apt,70,3,2,9/25/2018,0.11,21,230
8208,Room in da centa of Madrid.,150663188,Daniel,Arganzuela,Imperial,40.41188,-3.72134,Private room,18,2,26,7/8/2019,1.07,1,0
8209,Luxury apartment in Salamanca district,106591951,Luxa Home,Salamanca,Recoletos,40.426,-3.68159,Entire home/apt,270,2,40,8/26/2019,1.64,6,186
8210,Apartamento abuhardillado con encanto,105943452,Norma,Retiro,Adelfas,40.40137,-3.66776,Entire home/apt,42,2,10,6/26/2019,0.42,1,59
8211,Malasaa I,99018982,Alterhome,Centro,Justicia,40.42428,-3.70031,Entire home/apt,56,1,1,10/15/2017,0.04,110,327
8212,"LUXURY APARTMENT CASTELLANA, CHAMARTIN",54317950,Natalia,Tetun,Valdeacederas,40.46476,-3.6944,Entire home/apt,100,2,9,7/14/2019,0.43,5,86
8213,"Luxurious Apartment in Calle Atocha, Madrid Centre",40877988,Eduardo Y Raul,Centro,Cortes,40.41406,-3.7003,Entire home/apt,90,2,97,8/31/2019,4.08,56,278
8214,Cute and cozy apartment by Madrid Rio,120664285,Teresa Y Marisol,Latina,Puerta del Angel,40.41129,-3.73125,Entire home/apt,58,3,63,9/4/2019,2.62,6,117
8215,"LUXURY APARTMENT PRINCESA, GRAN VA",54317950,Natalia,Moncloa - Aravaca,Argelles,40.42423,-3.71339,Entire home/apt,110,2,16,5/20/2019,0.77,5,47
8216,Lugar ideal junto a Plaza de Castilla - Chamartn,83132131,Beatriz,Chamartn,Castilla,40.47116,-3.68612,Hotel room,70,3,52,8/23/2019,2.45,1,133
